gameId,champion,lane
4372596964,90,MID
4370665277,131,MID
4370680345,268,MID
4369590611,115,MID
4369462582,112,MID
4362343893,42,MID
4362285184,42,MID
4361978917,34,MID
4361916365,115,MID
4359562952,127,NONE
4359455577,134,MID
4356475467,115,MID
4356358766,268,MID
4354003075,268,MID
4338718573,42,MID
4338380202,61,MID
4336230094,34,MID
4333710062,112,MID
4333478455,268,NONE
4333385487,61,MID
4333285262,115,MID
4333168263,34,NONE
4333099531,245,MID
4331003674,245,MID
4330873183,26,MID
4330850790,34,NONE
4328581412,82,MID
4328343534,84,MID
4328224903,34,MID
4328036155,115,MID
4327816373,22,BOTTOM
4325762656,115,MID
4325565126,82,MID
4322736434,266,MID
4320158234,61,MID
4320038655,518,MID
4319992960,112,MID
4318823019,34,MID
4317426276,245,MID
4317094863,81,MID
4316347827,61,MID
4309786796,90,NONE
4309598639,34,MID
4309592439,84,NONE
4309129636,268,MID
4309051142,245,MID
4308952537,61,MID
4308628285,38,MID
4308543724,112,MID
4308497694,245,NONE
4307004124,38,MID
4306844903,245,JUNGLE
4306495033,61,MID
4306386540,34,MID
4304600362,245,MID
4304356670,245,MID
4304281119,268,MID
4300635895,235,BOTTOM
4300237547,245,MID
4298471175,245,MID
4298245050,7,MID
4297977296,112,NONE
4295742569,34,MID
4295604160,26,MID
4286174757,112,MID
4281178723,34,MID
4271603254,90,NONE
4270125617,127,MID
4269723243,34,MID
4269578010,90,MID
4269411121,89,BOTTOM
4269109506,110,MID
4269041269,61,MID
4267694164,268,MID
4264708752,68,NONE
4262981756,112,MID
4260689639,112,MID
4260628718,34,MID
4260540025,68,MID
4244172534,268,MID
4243858421,34,TOP
4243817354,68,MID
4243663507,61,TOP
4242324548,53,BOTTOM
4229335755,68,MID
4227331928,82,MID
4224332018,235,MID
4224231969,26,BOTTOM
4220114852,68,MID
4213488161,34,MID
4213432140,134,MID
4213099636,34,MID
4213007599,61,MID
4212762236,90,NONE
4208004268,90,MID
4206860479,34,MID
4206751990,34,MID
4206701278,3,MID
4197982349,112,MID
4197285119,61,MID
